,date_eod,ticker,open,close,high,close.1,volume
2862,2012-12-20,SAMPLE,35.96,35.78,36.42,35.78,6221076
2863,2012-12-21,SAMPLE,34.75,35.4,35.79,35.4,20435816
2864,2012-12-24,SAMPLE,35.32,35.36,35.74,35.36,2190252
2865,2012-12-26,SAMPLE,35.7,36.05,36.54,36.05,4926810
2866,2012-12-27,SAMPLE,36.63,36.04,37.13,36.04,6579400
2867,2012-12-28,SAMPLE,35.76,35.58,35.965,35.58,4332367
2868,2012-12-31,SAMPLE,35.61,38.57,38.72,38.57,9876530
2869,2013-01-02,SAMPLE,40.13,38.81,40.4,38.81,9626589
2870,2013-01-03,SAMPLE,39.05,38.17,39.2,38.17,5834578
2871,2013-01-04,SAMPLE,38.21,37.49,38.58,37.49,9071385
2872,2013-01-07,SAMPLE,37.35,37.86,38.65,37.86,8227659
2873,2013-01-08,SAMPLE,38.41,38.02,38.41,38.02,6032661
2874,2013-01-09,SAMPLE,38.13,37.35,38.43,37.35,6052646
2875,2013-01-10,SAMPLE,38.08,37.74,38.21,37.74,6291568
2876,2013-01-11,SAMPLE,37.39,36.21,37.4,36.21,9923278
2877,2013-01-14,SAMPLE,36.49,36.14,36.89,36.14,5146273
2878,2013-01-15,SAMPLE,35.64,36.8,37.23,36.8,7062395
2879,2013-01-16,SAMPLE,36.29,35.88,36.43,35.88,7330390
2880,2013-01-17,SAMPLE,36.15,36.69,36.83,36.69,5991929
2881,2013-01-18,SAMPLE,37.15,37.25,37.39,37.25,5117937
2882,2013-01-22,SAMPLE,37.33,38.41,38.55,38.41,6407873
2883,2013-01-23,SAMPLE,38.35,37.18,38.53,37.18,6699677
2884,2013-01-24,SAMPLE,36.88,36.0,37.43,36.0,7370071
2885,2013-01-25,SAMPLE,36.29,35.71,36.45,35.71,7014863
2886,2013-01-28,SAMPLE,35.75,35.29,35.89,35.29,3845261
2887,2013-01-29,SAMPLE,35.59,36.03,36.72,36.03,6991803
2888,2013-01-30,SAMPLE,35.89,36.42,36.88,36.42,6166256
2889,2013-01-31,SAMPLE,36.4,37.31,37.45,37.31,6278535
2890,2013-02-01,SAMPLE,37.84,37.66,37.99,37.66,5072089
2891,2013-02-04,SAMPLE,37.16,37.98,38.28,37.98,6159786
2892,2013-02-05,SAMPLE,38.29,37.25,38.52,37.25,4791212
2893,2013-02-06,SAMPLE,37.01,37.32,37.63,37.32,4685752
2894,2013-02-07,SAMPLE,37.32,36.24,37.42,36.24,5316503
2895,2013-02-08,SAMPLE,36.33,36.49,36.84,36.49,3957774
2896,2013-02-11,SAMPLE,36.25,36.44,36.8,36.44,4549341
2897,2013-02-12,SAMPLE,36.32,36.61,36.9,36.61,8281093
2898,2013-02-13,SAMPLE,31.04,29.29,31.2,29.29,35480522
2899,2013-02-14,SAMPLE,29.26,29.48,30.45,29.48,14111522
2900,2013-02-15,SAMPLE,29.78,28.85,29.9,28.85,23375872
2901,2013-02-19,SAMPLE,29.41,28.84,29.57,28.84,16410027
2902,2013-02-20,SAMPLE,28.82,27.29,28.899,27.29,14203251
2903,2013-02-21,SAMPLE,27.25,26.84,27.71,26.84,8536868
